"Year-Week","actual","seasonally adjusted","HW fitted","HW fitted level"
"2010 07","917.68","1398.54478224754","1329.3522249512","1329.3522249512"
"2010 08","1210.4","1499.91440488905","1334.66156315448","1334.66156315448"
"2010 09","1926.52","1857.90723507773","1347.34187531674","1347.34187531674"
"2010 10","826.87","1285.65742375697","1386.51898158038","1386.51898158038"
"2010 11","830.51","1244.58346149282","1378.77959250273","1378.77959250273"
"2010 12","1139.13","1266.02940488905","1368.48234850794","1368.48234850794"
"2010 13","1609.58","1262.39402753056","1360.62084795283","1360.62084795283"
"2010 14","1217.44","1347.88770677584","1353.08362963582","1353.08362963582"
"2010 15","1103.46","1135.22931054942","1352.68493196052","1352.68493196052"
"2010 16","1449.36","1377.38440488905","1335.99895469086","1335.99895469086"
"2010 17","1690.76","1536.60581998339","1339.17457589035","1339.17457589035"
"2010 18","1611.63","1502.81657470037","1354.32402675246","1354.32402675246"
"2010 19","1978.31","1413.12695205886","1365.7182747544","1365.7182747544"
"2010 20","1291.88","1094.40817847395","1369.35607499499","1369.35607499499"
"2010 21","2125.33","1201.40657470037","1348.25855485768","1348.25855485768"
"2010 22","2769.95","1382.99242375697","1336.99019220507","1336.99019220507"
"2010 23","1735.77","1510.3954426249","1340.52007193431","1340.52007193431"
"2010 24","1586.21","1397.24280111546","1353.5550836559","1353.5550836559"
"2010 25","1778.46","1545.04515960603","1356.90736425349","1356.90736425349"
"2010 26","1909.65","1412.10798979471","1371.3437028335","1371.3437028335"
"2010 27","2040.22","851.697832562003","1374.47166044266","1374.47166044266"
"2010 28","1724.49","1522.29330426012","1334.35776431716","1334.35776431716"
"2010 29","2120.37","1643.54701495194","1348.77858327461","1348.77858327461"
"2010 30","2189.66","1812.41814702741","1371.39698844099","1371.39698844099"
"2010 31","1607.55","1368.19305268779","1405.2377738843","1405.2377738843"
"2010 32","1672.89","1298.99286400854","1402.39522894646","1402.39522894646"
"2010 33","1697.01","1234.01515960603","1394.46087664144","1394.46087664144"
"2010 34","1506.32","1143.6233671532","1382.14942858553","1382.14942858553"
"2010 35","1167.84","902.695159606028","1363.84665759504","1363.84665759504"
"2010 36","1247.95","1406.59978224754","1328.46121497744","1328.46121497744"
"2010 37","1253.13","1443.03487658716","1334.45700551573","1334.45700551573"
"2010 38","1199.62","1429.70893319093","1342.78848886359","1342.78848886359"
"2010 39","1154.71","1347.10176337961","1349.4581373597","1349.4581373597"
"2010 40","1542.95","1520.4721407381","1349.27732620193","1349.27732620193"
"2010 41","1615.37","1522.67959356829","1362.41358253552","1362.41358253552"
"2010 42","916.91","1004.10251809659","1374.71124124785","1374.71124124785"
"2010 43","1091.19","1389.39619734188","1346.27339866502","1346.27339866502"
